Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2021-08-15,20:00 (01:00),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,2,0,0,11,19,1,7,15,10,0,0,0,61,11,11,50.0,Match Report
2021-08-21,22:00 (03:00),Matchweek 2,Sat,Away,D,1,1,Athletic Club,2,1,0,13,17,2,16,18,6,0,0,0,68,15,13,53.6,Match Report
2021-08-29,17:00 (22:00),Matchweek 3,Sun,Home,W,2,1,Getafe,3,0,0,18,20,3,7,15,17,0,0,0,80,12,15,44.4,Match Report
2021-09-20,21:00 (02:00),Matchweek 5,Mon,Home,D,1,1,Granada,3,0,0,16,26,1,40,5,18,0,0,0,103,30,17,63.8,Match Report
2021-09-23,22:00 (03:00),Matchweek 6,Thu,Away,D,0,0,Cádiz,4,1,1,7,17,1,14,3,13,0,0,0,87,16,15,51.6,Match Report
2021-09-26,16:15 (21:15),Matchweek 7,Sun,Home,W,3,0,Levante,1,0,0,12,20,0,20,7,13,1,0,0,86,11,7,61.1,Match Report
2021-10-02,21:00 (02:00),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,1,0,0,10,12,3,12,8,10,0,0,0,66,12,10,54.5,Match Report
2021-10-17,21:00 (02:00),Matchweek 9,Sun,Home,W,3,1,Valencia,2,0,0,18,18,3,14,9,7,1,0,0,66,6,17,26.1,Match Report
2021-10-24,16:15 (21:15),Matchweek 10,Sun,Home,L,1,2,Real Madrid,1,0,0,17,15,2,18,17,9,0,0,0,62,7,8,46.7,Match Report
2021-10-27,19:00 (00:00),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,2,0,0,14,27,1,13,10,6,1,0,0,74,16,14,53.3,Match Report
2021-10-30,21:00 (02:00),Matchweek 12,Sat,Home,D,1,1,Alavés,0,0,0,12,14,1,29,2,10,0,0,0,95,14,15,48.3,Match Report
2021-11-06,16:15 (22:15),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,6,0,0,19,19,2,7,23,6,0,0,0,61,8,12,40.0,Match Report
2021-11-20,21:00 (03:00),Matchweek 14,Sat,Home,W,1,0,Espanyol,4,0,0,18,13,7,21,9,11,1,0,0,80,13,11,54.2,Match Report
2021-11-27,21:00 (03:00),Matchweek 15,Sat,Away,W,3,1,Villarreal,2,0,0,15,22,4,8,19,11,1,0,0,77,9,6,60.0,Match Report
2021-12-04,16:15 (22:15),Matchweek 16,Sat,Home,L,0,1,Betis,1,0,0,19,13,3,13,9,9,0,0,0,93,14,8,63.6,Match Report
2021-12-12,16:15 (22:15),Matchweek 17,Sun,Away,D,2,2,Osasuna,4,0,0,16,21,2,13,6,15,0,0,0,109,21,24,46.7,Match Report
2021-12-18,18:30 (00:30),Matchweek 18,Sat,Home,W,3,2,Elche,1,0,0,15,21,3,11,14,8,0,0,0,97,10,7,58.8,Match Report
2021-12-21,21:30 (03:30),Matchweek 4,Tue,Away,D,1,1,Sevilla,3,0,0,14,18,1,15,12,12,0,0,0,84,16,9,64.0,Match Report
2022-01-02,21:00 (03:00),Matchweek 19,Sun,Away,W,1,0,Mallorca,2,0,0,26,24,1,11,11,10,0,0,0,72,23,19,54.8,Match Report
2022-01-08,18:30 (00:30),Matchweek 20,Sat,Away,D,1,1,Granada,5,1,1,24,15,3,6,13,15,0,0,0,83,16,10,61.5,Match Report
2022-01-23,21:00 (03:00),Matchweek 22,Sun,Away,W,1,0,Alavés,0,0,0,9,20,3,11,7,13,0,0,0,90,14,28,33.3,Match Report
2022-02-06,16:15 (22:15),Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,2,1,0,15,14,1,11,15,11,0,0,0,83,15,14,51.7,Match Report
2022-02-13,21:00 (03:00),Matchweek 24,Sun,Away,D,2,2,Espanyol,4,1,1,15,17,3,25,12,9,0,0,0,74,18,6,75.0,Match Report
2022-02-20,16:15 (22:15),Matchweek 25,Sun,Away,W,4,1,Valencia,4,0,0,16,22,1,9,13,9,0,0,0,64,14,17,45.2,Match Report
2022-02-27,21:00 (03:00),Matchweek 26,Sun,Home,W,4,0,Athletic Club,2,0,0,9,13,4,21,17,8,0,0,0,94,12,11,52.2,Match Report
2022-03-06,16:15 (22:15),Matchweek 27,Sun,Away,W,2,1,Elche,6,0,0,11,12,4,18,13,10,0,0,0,84,16,8,66.7,Match Report
2022-03-13,21:00 (03:00),Matchweek 28,Sun,Home,W,4,0,Osasuna,0,0,0,8,8,4,17,14,14,1,0,0,86,8,16,33.3,Match Report
2022-03-20,21:00 (03:00),Matchweek 29,Sun,Away,W,4,0,Real Madrid,4,0,0,16,14,0,5,9,15,0,0,0,73,12,8,60.0,Match Report
