Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2021-08-15,20:00 (01:00),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,4,13,8,61.5,0.31,0.50,13.1,0,0,0,2.7,2.7,0.21,+1.3,+1.3,Match Report
2021-08-21,22:00 (03:00),Matchweek 2,Sat,Away,D,1,1,Athletic Club,1,9,3,33.3,0.11,0.33,15.7,1,0,0,1.0,1.0,0.12,0.0,0.0,Match Report
2021-08-29,17:00 (22:00),Matchweek 3,Sun,Home,W,2,1,Getafe,2,7,3,42.9,0.29,0.67,14.7,0,0,0,1.5,1.5,0.21,+0.5,+0.5,Match Report
2021-09-20,21:00 (02:00),Matchweek 5,Mon,Home,D,1,1,Granada,1,17,6,35.3,0.06,0.17,14.1,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
2021-09-23,22:00 (03:00),Matchweek 6,Thu,Away,D,0,0,Cádiz,0,7,2,28.6,0.00,0.00,15.1,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Match Report
2021-09-26,16:15 (21:15),Matchweek 7,Sun,Home,W,3,0,Levante,3,20,10,50.0,0.10,0.20,16.0,0,1,1,3.5,2.8,0.14,-0.5,-0.8,Match Report
2021-10-02,21:00 (02:00),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,0,9,2,22.2,0.00,0.00,20.9,2,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
2021-10-17,21:00 (02:00),Matchweek 9,Sun,Home,W,3,1,Valencia,3,11,4,36.4,0.18,0.50,17.4,1,1,1,1.9,1.2,0.11,+1.1,+0.8,Match Report
2021-10-24,16:15 (21:15),Matchweek 10,Sun,Home,L,1,2,Real Madrid,1,12,2,16.7,0.08,0.50,14.7,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Match Report
2021-10-27,19:00 (00:00),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,0,15,0,0.0,0.00,,17.2,0,0,1,2.8,2.0,0.14,-2.8,-2.0,Match Report
2021-10-30,21:00 (02:00),Matchweek 12,Sat,Home,D,1,1,Alavés,1,16,5,31.3,0.06,0.20,20.0,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
2021-11-06,16:15 (22:15),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,3,10,5,50.0,0.30,0.60,15.4,0,0,0,0.8,0.8,0.08,+2.2,+2.2,Match Report
2021-11-20,21:00 (03:00),Matchweek 14,Sat,Home,W,1,0,Espanyol,1,15,5,33.3,0.00,0.00,18.9,0,1,1,1.5,0.7,0.05,-0.5,-0.7,Match Report
2021-11-27,21:00 (03:00),Matchweek 15,Sat,Away,W,3,1,Villarreal,3,11,5,45.5,0.18,0.40,14.4,0,1,1,3.0,2.2,0.23,0.0,-0.2,Match Report
2021-12-04,16:15 (22:15),Matchweek 16,Sat,Home,L,0,1,Betis,0,12,3,25.0,0.00,0.00,18.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2021-12-12,16:15 (22:15),Matchweek 17,Sun,Away,D,2,2,Osasuna,2,10,2,20.0,0.20,1.00,18.8,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Match Report
2021-12-18,18:30 (00:30),Matchweek 18,Sat,Home,W,3,2,Elche,3,19,7,36.8,0.16,0.43,16.9,1,0,0,2.9,2.9,0.15,+0.1,+0.1,Match Report
2021-12-21,21:30 (03:30),Matchweek 4,Tue,Away,D,1,1,Sevilla,1,23,7,30.4,0.04,0.14,16.7,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
2022-01-02,21:00 (03:00),Matchweek 19,Sun,Away,W,1,0,Mallorca,1,13,3,23.1,0.08,0.33,15.2,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2022-01-08,18:30 (00:30),Matchweek 20,Sat,Away,D,1,1,Granada,1,13,1,7.7,0.08,1.00,20.0,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
2022-01-23,21:00 (03:00),Matchweek 22,Sun,Away,W,1,0,Alavés,1,10,4,40.0,0.10,0.25,11.4,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Match Report
2022-02-06,16:15 (22:15),Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,4,10,4,40.0,0.40,1.00,14.1,0,0,0,1.1,1.1,0.12,+2.9,+2.9,Match Report
2022-02-13,21:00 (03:00),Matchweek 24,Sun,Away,D,2,2,Espanyol,2,12,4,33.3,0.17,0.50,13.3,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Match Report
2022-02-20,16:15 (22:15),Matchweek 25,Sun,Away,W,4,1,Valencia,4,7,6,85.7,0.57,0.67,13.8,0,0,0,2.0,2.0,0.28,+2.0,+2.0,Match Report
2022-02-27,21:00 (03:00),Matchweek 26,Sun,Home,W,4,0,Athletic Club,4,17,7,41.2,0.24,0.57,14.3,1,0,0,2.6,2.6,0.15,+1.4,+1.4,Match Report
2022-03-06,16:15 (22:15),Matchweek 27,Sun,Away,W,2,1,Elche,2,19,7,36.8,0.05,0.14,14.4,0,1,1,3.6,2.8,0.15,-1.6,-1.8,Match Report
2022-03-13,21:00 (03:00),Matchweek 28,Sun,Home,W,4,0,Osasuna,4,23,8,34.8,0.13,0.38,18.5,0,1,1,3.1,2.4,0.10,+0.9,+0.6,Match Report
2022-03-20,21:00 (03:00),Matchweek 29,Sun,Away,W,4,0,Real Madrid,4,18,10,55.6,0.22,0.40,12.8,0,0,0,3.5,3.5,0.20,+0.5,+0.5,Match Report
